Time0Period,Vendor,Medium,Product,Impressions_FY_2018,Clicks_FY_2018,Cost_FY_2018,UPV_FY_2018,Bounces_FY_2018,Sessions_FY_2018,MasterClicks0To0Site_FY_2018,MasterSends_FY_2018,MasterOpens_FY_2018,MasterSwipes_FY_2018,MasterEngagements_FY_2018,MasterResults_FY_2018,MasterCompletions_FY_2018,MasterViews_FY_2018,Impressions_FY_2019,Clicks_FY_2019,Cost_FY_2019,UPV_FY_2019,Bounces_FY_2019,Sessions_FY_2019,MasterClicksTo0Site_FY_2019,MasterSends_FY_2019,MasterOpens_FY_2019,MasterSwipes_FY_2019,MasterEngagements_FY_2019,MasterResults_FY_2019,MasterCompletions_FY_2019,MasterViews_FY_2019
FY_2018,FB,DISP,UG,1733692,6748,5758.45,13146,11916,12759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,FB0RT,DISP,UG,257680,3961,2656.39,3441,3105,3366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,DBM,DISP,UNI,19083388,6322,0,4435,3617,4119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,DBM,VID,UNI,1561401,2104,0,1255,1132,1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,FB,DISP,TR,1278497,3898,3158.17,2664,2455,2602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,IG,DISP,TR,262476,251,1364.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,FB,DISP,GR,1361293,5009,2530.79,10031,8951,9593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,IG,DISP,WA,92155,68,522.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,FB,DISP,WA,1487777,7083,3527.03,4784,4344,4667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,FB,DISP,IC,145708,719,199.76,477,421,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,GM,TEXT,DC,236603,7730,4951.45,10,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,YT,VID,UNI,490460,219,15357.49,44,43,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,FB,DISP,UG,358608,1063,2999.66,3389,3121,3336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,DBM,DISP,UG,1782286,2386,10000,1275,1152,1241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,DBM,DISP,UNI,2981983,1847,13995,1943,1643,1883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,DBM,VID,UNI,255020,576,4110.79,272,206,238,0,0,0,0,0,0,151384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,DBM,AUD,UNI,1035379,0,24655.17,13,10,12,0,0,0,0,0,0,368569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,FB,DISP,DC,549175,2868,1414,2086,1840,2005,2898,0,0,0,2922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,FB,DISP,GR,1047252,4048,2176,2961,2421,2770,3955,0,0,0,4019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,FB,DISP,IC,236248,2406,1975.52,1381,1071,1204,2060,0,0,0,2153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,FB,DISP,TR,1555825,5997,3868,4040,2448,3955,6001,0,0,0,6018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,FB,DISP,UG,2002566,9872,4143,4844,3920,4731,10147,0,0,0,10213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,FB,VID,DC,119468,1477,1037.73,788,691,775,1356,0,0,0,67561,0,39865,87454,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,FB,VID,GR,83203,725,531.5,421,348,405,634,0,0,0,21367,0,3034,43251,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,FB,VID,TR,199421,1240,1155.11,370,283,361,951,0,0,0,56742,0,22703,120506,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,FB,VID,UG,218260,1464,1156.58,580,473,557,1175,0,0,0,60128,0,17508,149749,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,FB,VID,UNI,0,0,0,187,82,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,GM,TEXT,DC,19860,2055,895.85,234,64,96,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,GM,TEXT,TR,18886,1449,942.81,62,19,31,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,HU,VID,UNI,1502441,840,52375.32,501,367,449,0,0,0,0,0,0,1487937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,IG,DISP,DC,23445,118,303.27,31,27,31,103,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,IG,DISP,GR,52112,149,535.67,45,30,39,98,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,IG,DISP,IC,42287,287,632.36,119,114,117,263,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,IG,DISP,TR,104896,428,812.41,89,55,80,335,0,0,0,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,IG,DISP,UG,420442,908,1902.97,197,164,186,730,0,0,0,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,IG,VID,DC,65325,477,907.99,87,75,82,450,0,0,0,5636,0,827,49744,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,IG,VID,GR,57184,251,714.33,37,34,36,229,0,0,0,4294,0,207,40682,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,IG,VID,TR,267754,933,2261.01,185,167,180,828,0,0,0,12598,0,1209,216139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,IG,VID,UG,615731,1285,2675.07,245,207,230,1104,0,0,0,21529,0,2914,508160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,IG,VID,UNI,0,0,0,35,18,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,LI,TEXT,DC,0,0,1433.28,85,32,45,0,3194,1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,LI,TEXT,GR,0,0,701,106,38,51,0,3504,1848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,PIN,DISP,DC,245264,908,1345,350,281,303,0,0,0,0,10903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,PIN,DISP,UG,460383,1281,2131,356,276,315,0,0,0,0,25127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,SC,VID,TR,341157,4143,1000,0,0,0,0,0,0,3266,0,0,1661,12501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,SC,VID,UG,865758,10496,1423.92,2062,1984,2035,0,0,0,496,0,0,382,2936,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,SPO,AUD,UNI,697674,667,0,196,129,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2018,YT,VID,UNI,144676,153,3210,110,68,100,0,0,0,0,0,0,90,58525,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY_2019,DBM,DISP,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762072,557,10190.52,1553,963,1518,0,0,0,0,0,0,0,0
FY_2019,DBM,DISP,GR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277349,884,18821.71,1633,1240,1561,0,0,0,0,0,0,0,0
FY_2019,DBM,DISP,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685694,498,7021,1360,785,1330,0,0,0,0,0,0,0,0
FY_2019,DBM,DISP,UG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2768199,3264,37404.41,5912,4011,5653,0,0,0,0,0,0,0,0
FY_2019,DBM,DISP,UNI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3449890,2231,20005.36,2479,2091,2337,0,0,0,0,0,0,0,0
FY_2019,DBM,VID,UNI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258660,1644,5889.23,871,533,758,0,0,0,0,0,0,161403,0
FY_2019,DBM,AUD,UNI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.04,0,0,0,0,0,0,0,0,0,0,0
FY_2019,FB,DISP,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1234508,4217,3135.16,2132,1856,2037,3484,0,0,0,3640,0,0,0
FY_2019,FB,DISP,GR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2967712,7899,7515.6,4113,3510,3893,6646,0,0,0,7232,0,0,0
FY_2019,FB,DISP,IC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437789,2481,1520.72,1486,781,957,1566,0,0,0,1870,0,0,0
FY_2019,FB,DISP,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186451,1134,946.02,259,161,187,680,0,0,0,701,0,0,0
FY_2019,FB,DISP,UG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1772828,7239,7002.5,2341,1989,2171,5020,0,0,0,5681,0,0,0
FY_2019,FB,VID,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273919,3212,2186.44,683,596,657,15090,0,0,0,104212,0,63680,203173
FY_2019,FB,VID,GR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377074,2828,2615.4,1218,1049,1187,56355,0,0,0,120689,0,50394,313754
FY_2019,FB,VID,UG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,123,129,0,0,0,0,0,0,0,0
FY_2019,FB,VID,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99207,846,756.26,383,369,379,651,0,0,0,8658,0,2519,61244
FY_2019,FB,VID,UG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,991010,5480,5708.09,1579,1458,1531,73129,0,0,0,87965,0,22381,749574
FY_2019,FB,CAR,UG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357927,1414,1657.97,650,558,608,1002,0,0,0,1113,0,0,0
FY_2019,GM,TEXT,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17626,2806,1429.03,147,47,73,43,0,0,0,0,0,0,0
FY_2019,GM,TEXT,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,8,0,0,0,0,0,0,0,0
FY_2019,HU,VID,UNI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,0,0,0,0,0,0,0,0
FY_2019,IG,DISP,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67489,425,584.93,212,199,205,375,0,0,0,401,0,0,0
FY_2019,IG,DISP,GR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329190,1399,3302.36,692,666,681,1150,0,0,0,1326,0,0,0
FY_2019,IG,DISP,IC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205154,1194,2031.13,849,823,842,1065,0,0,0,1164,0,0,0
FY_2019,IG,DISP,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79191,324,705.08,217,214,217,278,0,0,0,296,0,0,0
FY_2019,IG,DISP,UG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006768,1978,5894.89,932,821,870,1278,0,0,0,1976,0,0,0
FY_2019,IG,VID,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45313,429,558.75,120,116,120,2579,0,0,0,4587,0,829,35967
FY_2019,IG,VID,GR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135839,762,1505.35,192,174,185,18032,0,0,0,10255,0,1978,111006
FY_2019,IG,VID,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36358,118,321,43,40,41,67,0,0,0,2858,0,399,32732
FY_2019,IG,VID,UG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005852,1615,5355.46,573,549,563,115224,0,0,0,36804,0,7720,852572
FY_2019,IG,CAR,UG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466588,981,2493.96,507,437,470,703,0,0,0,929,0,0,0
FY_2019,IG,ST,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4451,19,31.95,27,27,27,12,0,0,0,248,0,87,3929
FY_2019,IG,ST,UG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19,21,0,0,0,0,0,0,0,0
FY_2019,LI,TEXT,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5558,2471,2221.7,221,74,113,1,10545,5305,0,2513,0,0,0
FY_2019,LI,TEXT,GR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5408,3138,1904,189,84,111,2,10786,6246,0,3181,0,0,0
FY_2019,PIN,DISP,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384913,1183,1844.32,556,473,503,0,0,0,0,20990,0,0,0
FY_2019,PIN,DISP,UG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633044,2449,3531.52,1471,1240,1325,0,0,0,0,28126,0,0,0
FY_2019,SC,VID,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111859,1022,500,1068,978,1068,0,0,0,1022,0,0,715,4553
FY_2019,SC,VID,UG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501719,4278,1259.88,1595,1520,1584,0,0,0,4278,0,0,4437,24855
FY_2019,SPO,AUD,UNI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,1,1,0,0,0,0,0,0,0,0
FY_2019,TW,DISP,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45791,0,2211.54,307,241,301,0,0,0,0,0,1013,0,0
FY_2019,TW,DISP,UG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23031,0,912.05,47,31,35,0,0,0,0,31,261,0,0
FY_2019,YT,VID,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39738,24,688.94,16,13,16,0,0,0,0,0,0,80,35230
FY_2019,YT,VID,UG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119304,179,2032.63,86,72,84,0,0,0,0,0,0,235,104825
FY_2019,YT,VID,UNI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270829,243,4378.51,242,214,233,0,0,0,0,0,0,230,123749
