Vendor,Medium,Audience,Product,Objective,FY_2018_Master Impressions,FY_2018_Master Clicks,FY_2018_Master Cost,FY_2018_Master Unique Pageviews,FY_2018_Master Bounces,FY_2018_Master Sessions,FY_2018_Master Clicks Sponsored InMail,FY_2018_Master Sends,FY_2018_Master Opens,FY_2018_Master Swipes,FY_2018_Master Engagements,FY_2018_Master Results,FY_2018_Master Views,FY_2018_Master Completions,FY_2019_Master Impressions,FY_2019_Master Clicks,FY_2019_Master Cost,FY_2019_Master Unique Pageviews,FY_2019_Master Bounces,FY_2019_Master Sessions,FY_2019_Master Clicks Sponsored InMail,FY_2019_Master Sends,FY_2019_Master Opens,FY_2019_Master Swipes,FY_2019_Master Engagements,FY_2019_Master Results,FY_2019_Master Views,FY_2019_Master Completions
DBM,DISP,ALL,GR,IG,,,,,,,,,,,,,,,1277349,884,18821.71,1628,1238,1557,,,,,,,,0
DBM,DISP,ALL,MPH,IG,,,,,,,,,,,,,,,62942,59,686.61,451,343,447,,,,,,,,0
DBM,DISP,ALL,POL,IG,,,,,,,,,,,,,,,59742,48,623.49,456,325,436,,,,,,,,0
DBM,DISP,ALL,UNI,BR,2309879,1346,10906.89,1464,1209,1433,,,,,,,,0,3449890,2231,20005.36,2479,2091,2337,,,,,,,,0
DBM,DISP,CU,TR,IG,,,,,,,,,,,,,,,685694,498,7021.16,1325,756,1295,,,,,,,,0
DBM,DISP,HS,UG,IG,,,,,,,,,,,,,,,1023021,812,16504.09,2084,1063,1950,,,,,,,,0
DBM,DISP,TL,UG,BR,,,,,,,,,,,,,,,919730,1457,10900.53,1926,1542,1863,,,,,,,,0
DBM,DISP,TL,UG,IG,1782286,2386,9999.88,1274,1151,1240,,,,,,,,0,825448,995,9999.79,1849,1363,1790,,,,,,,,0
DBM,DISP,WA,DC,IG,,,,,,,,,,,,,,,762072,557,10190.52,1495,909,1460,,,,,,,,0
DBM,VID,ALL,UNI,BR,193223,384,2919.89,185,142,166,,,,,,,,115199,258660,1644,5889.23,871,533,758,,,,,,,,161403
DBM,AUD,ALL,UNI,BR,681060,0,15700.06,13,10,12,,,,,,,,227846,,,,,,,,,,,,,,
FB,DISP,ALL,CGCY,IG,,,,,,,,,,,,,,,430185,1055,940.48,650,507,562,,,,,937,,0,0
FB,DISP,ALL,CLR,IG,,,,,,,,,,,,,,,816265,2458,3151.69,1206,1112,1162,,,,,2193,,0,0
FB,DISP,ALL,GR,IG,,,,,,,,,,,,,,,1637142,4184,3838.2,2047,1713,1918,,,,,3902,,0,0
FB,DISP,ALL,IC,IG,,,,,,,,,,,,,,,317137,1297,760.88,1192,557,705,,,,,1030,,0,0
FB,DISP,ALL,MPH,IG,,,,,,,,,,,,,,,170008,694,715.01,363,310,331,,,,,528,,0,0
FB,DISP,ALL,POL,IG,,,,,,,,,,,,,,,460188,1172,1784.97,735,642,701,,,,,1135,,0,0
FB,DISP,CU,GR,IG,395166,884,732.53,606,507,558,,,,,892,,0,0,886545,1038,1437.58,450,412,430,,,,,988,,0,0
FB,DISP,CU,TR,IG,1474207,5327,3004.41,3930,2345,3846,,,,,5482,,0,0,186451,1134,946.02,256,158,184,,,,,701,,0,0
FB,DISP,HS,UG,ER,,,,,,,,,,,,,,,662113,3031,3846.36,694,625,664,,,,,2014,,0,0
FB,DISP,HS,UG,IG,963855,3767,2101.37,1623,1005,1591,,,,,3812,,0,0,570347,2321,1444.1,593,464,511,,,,,1917,,0,0
FB,DISP,TL,CLR,IG,,,,,,,,,,,,,,,111292,440,751.5,288,267,280,,,,,420,,0,0
FB,DISP,TL,UG,BR,,,,,,,,,,,,,,,540368,1887,1712.04,1039,886,981,,,,,1750,,0,0
FB,DISP,TL,UG,IG,999395,5954,1912.19,3190,2886,3110,,,,,6281,,0,0,,,,4,3,4,,,,,,,,
FB,DISP,WA,DC,IG,536103,2714,1290.68,2041,1811,1961,,,,,2811,,0,0,1234508,4217,3135.16,2088,1815,1993,,,,,3640,,0,0
FB,DISP,WA,GR,AG,206295,1483,571.15,1078,839,1006,,,,,1354,,0,0,237588,851,792.84,426,349,390,,,,,585,,0,0
FB,DISP,WA,GR,IG,408927,1537,735.97,1112,1000,1088,,,,,1651,,0,0,206437,1826,1446.98,1190,1036,1155,,,,,1757,,0,0
FB,DISP,WA,IC,IG,96883,1111,923.9,917,704,792,,,,,1113,,0,0,120652,1184,759.84,294,224,252,,,,,840,,0,0
FB,DISP,WA,ST,IG,218194,1513,1095.78,1249,1124,1216,,,,,1603,,0,0,208402,465,634.58,317,289,307,,,,,447,,0,0
FB,VID,,TL,BR,,,,,,,,,,,,,,,,,,129,123,129,,,,,,,,
FB,VID,ALL,UNI,IG,,,,187,82,185,,,,,,,,,,,,,,,,,,,,,,
FB,VID,CU,GR,BR,,,,10,10,10,,,,,,,,,,,,,,,,,,,,,,
FB,VID,CU,GR,IG,49224,234,267.47,68,67,68,,,,,6767,,24604,555,262305,960,1312.38,217,202,216,,,,,46310,,213850,11928
FB,VID,CU,TR,IG,160500,1044,966.3,312,231,303,,,,,43893,,89748,14560,99207,846,756.26,370,356,366,,,,,8658,,61244,2519
FB,VID,HS,UG,ER,,,,,,,,,,,,,,,182493,971,1091.51,197,180,193,,,,,13931,,123109,2722
FB,VID,HS,UG,IG,123124,700,655.94,173,114,161,,,,,28431,,84777,6185,98641,608,455.38,159,147,153,,,,,7909,,72571,1885
FB,VID,TL,UG,BR,,,,,,,,,,,,,,,709876,3901,4161.2,1222,1130,1184,,,,,66125,,553894,17774
FB,VID,TL,UG,IG,69766,636,387.81,395,347,384,,,,,27531,,45186,10186,,,,,,,,,,,,,,
FB,VID,WA,DC,IG,61511,831,559.89,526,454,517,,,,,31990,,40760,16643,273919,3212,2186.44,683,596,657,,,,,104212,,203173,63680
FB,VID,WA,GR,BR,,,,39,34,37,,,,,,,,,,,,,,,,,,,,,,
FB,VID,WA,GR,IG,33979,491,264.03,304,237,290,,,,,14600,,18647,2479,114769,1868,1303.02,1001,847,971,,,,,74379,,99904,38466
FB,CAR,HS,UG,ER,,,,,,,,,,,,,,,156196,747,685.44,237,206,223,,,,,476,,0,0
FB,CAR,TL,UG,BR,,,,,,,,,,,,,,,201731,667,972.53,413,352,385,,,,,637,,0,0
GM,TEXT,ALL,CGCY,IG,,,,,,,,,,,,,,,32941,10652,2288.58,67,45,54,,,,,,,0,0
GM,TEXT,CU,TR,IG,7785,804,516.3,21,6,11,,,,,,,0,0,,,,8,7,8,,,,,,,,
GM,TEXT,WA,DC,BR,12746,1222,502.98,143,32,51,,,,,,,0,0,,,,,,,,,,,,,,
GM,TEXT,WA,DC,IG,7114,833,392.87,91,32,45,,,,,,,0,0,17626,2806,1429.03,147,47,73,,,,,,,0,0
HU,VID,ALL,UNI,BR,1175957,674,40905.16,364,280,349,,,,,,,,1162080,,,,6,2,3,,,,,,,,
IG,DISP,ALL,CGCY,IG,,,,,,,,,,,,,,,162247,1190,2059.5,911,888,903,,,,,1172,,0,0
IG,DISP,ALL,GR,IG,,,,,,,,,,,,,,,68081,507,1057.72,393,379,387,,,,,487,,0,0
IG,DISP,ALL,IC,IG,,,,,,,,,,,,,,,171808,1012,1739.12,795,769,788,,,,,994,,0,0
IG,DISP,CU,GR,IG,40242,88,377.06,27,17,23,,,,,70,,0,0,151913,327,1180.4,50,50,50,,,,,297,,0,0
IG,DISP,CU,TR,IG,86941,378,710.77,67,43,67,,,,,361,,0,0,79191,324,705.08,215,212,215,,,,,296,,0,0
IG,DISP,HS,UG,ER,,,,,,,,,,,,,,,272542,518,1239.64,262,244,255,,,,,504,,0,0
IG,DISP,HS,UG,IG,88169,236,527.2,43,36,43,,,,,235,,0,0,463493,969,3170.23,409,346,373,,,,,1034,,0,0
IG,DISP,TL,UG,BR,,,,,,,,,,,,,,,270733,491,1485.02,261,231,242,,,,,438,,0,0
IG,DISP,TL,UG,IG,325305,658,1351.7,150,124,139,,,,,599,,0,0,,,,,,,,,,,,,,
IG,DISP,WA,DC,IG,20667,108,265.67,28,24,28,,,,,101,,0,0,67489,425,584.93,212,199,205,,,,,401,,0,0
IG,DISP,WA,GR,IG,11870,61,158.61,18,13,16,,,,,64,,0,0,109196,565,1064.24,249,237,244,,,,,542,,0,0
IG,DISP,WA,IC,IG,27054,198,442.93,91,89,91,,,,,186,,0,0,33346,182,292.01,54,54,54,,,,,170,,0,0
IG,VID,ALL,UNI,IG,,,,25,8,24,,,,,,,,,,,,,,,,,,,,,,
IG,VID,CU,GR,IG,33517,88,372.94,15,12,14,,,,,1733,,23725,107,72000,155,569.6,31,26,28,,,,,3206,,60786,688
IG,VID,CU,TR,IG,214684,751,1783.86,146,129,141,,,,,9661,,169491,711,36358,118,320.81,40,37,38,,,,,2858,,32732,399
IG,VID,HS,UG,ER,,,,,,,,,,,,,,,302054,577,1736.79,180,177,180,,,,,11666,,250100,2137
IG,VID,HS,UG,IG,229572,508,1253.63,85,63,78,,,,,8296,,176951,1015,348947,537,1572.52,148,142,146,,,,,13980,,302167,3377
IG,VID,TL,UG,BR,,,,,,,,,,,,,,,354851,501,2046.15,242,227,234,,,,,11158,,300305,2206
IG,VID,TL,UG,IG,360751,710,1348.11,155,142,148,,,,,12414,,310092,1745,,,,,,,,,,,,,,
IG,VID,WA,DC,IG,48981,356,655.16,67,56,62,,,,,4260,,36966,550,45313,429,558.75,120,116,120,,,,,4587,,35967,829
IG,VID,WA,GR,IG,23667,163,341.39,22,22,22,,,,,2561,,16957,100,63839,607,935.75,161,148,157,,,,,7049,,50220,1290
IG,VID,WA,UNI,BR,,,,10,10,10,,,,,,,,,,,,,,,,,,,,,,
IG,CAR,HS,UG,ER,,,,,,,,,,,,,,,204990,384,1004.71,167,139,148,,,,,409,,0,0
IG,CAR,TL,UG,BR,,,,,,,,,,,,,,,261598,597,1489.25,340,298,322,,,,,520,,0,0
IG,ST,CU,TR,BR,,,,,,,,,,,,,,,4451,19,31.95,27,27,27,,,,,248,,3929,87
IG,ST,HS,UG,BR,,,,,,,,,,,,,,,,,,20,18,19,,,,,,,,
LI,DISP,ALL,CGCY,IG,,,,,,,,,,,,,,,23774,131,754.16,106,74,89,0,0,0,,161,,,
LI,TEXT,ALL,GR,IG,,,,,,,,,,,,,,,5408,2825,811.2,64,34,42,32,5408,2825,,2862,,,
LI,TEXT,ALL,MPH,IG,9018,83,458.75,,,,,,,,86,,,,19418,92,544.31,64,61,64,0,,0,,111,,,
LI,TEXT,ALL,POL,IG,10751,82,443.38,,,,,,,,95,,,,22397,128,702.83,98,77,89,1,0,0,,145,,,
LI,TEXT,WA,DC,IG,,,1433.28,83,30,43,51,3194,1597,,,,,,5558,2471,2221.7,221,74,113,113,10545,5305,,2513,,,
LI,TEXT,WA,GR,IG,,,700.98,84,36,47,50,3504,1691,,,,,,0,313,1092.94,121,49,67,74,5378,3421,,319,,,
PIN,DISP,HS,UG,BR,166153,416,669.4,73,68,73,,,,,8979,,,,25208,64,99.4,27,25,26,,,,,1159,,,
PIN,DISP,HS,UG,ER,,,,,,,,,,,,,,,144241,406,636.61,209,194,202,,,,,5458,,,
PIN,DISP,IN,UG,BR,134921,405,666.74,138,100,117,,,,,6815,,,,463595,1979,2795.51,1235,1021,1097,,,,,21509,,,
PIN,DISP,WA,DC,BR,180438,658,947.89,260,208,225,,,,,7742,,,,384913,1183,1844.32,544,463,492,,,,,20990,,,
SC,VID,CU,TR,BR,,,,,,,,,,,,,,,111859,1022,500,948,875,948,,,,1022,,,4553,715
SC,VID,CU,TR,IG,311642,3815,916.18,,,,,,,2938,,,11287,1506,0,0,0,,,,,,,0,,,0,0
SC,VID,HS,UG,BR,,,,,,,,,,,,,,,501719,4278,1259.88,1595,1520,1584,,,,4278,,,24855,4437
SC,VID,HS,UG,IG,139941,1272,226.65,283,268,277,,,,496,,,2936,382,0,0,0,,,,,,,0,,,0,0
SC,VID,TL,UG,IG,725817,9224,1197.27,1779,1716,1758,,,,0,,,0,0,0,0,0,,,,,,,0,,,0,0
SPO,AUD,ALL,UNI,BR,460210,491,0,167,103,124,,,,,,,,0,,,,,,,,,,,,,,
TW,DISP,CU,TR,IG,,,,,,,,,,,,,,,43953,,2185.21,290,228,284,,,,,,941,,
TW,DISP,HS,UG,IG,,,,,,,,,,,,,,,23031,,912.05,47,31,35,,,,,31,261,,
YT,VID,ALL,UNI,BR,113384,122,2576.42,79,49,76,,,,,,,44968,49,270446,243,4369.47,221,193,212,,,,,,,123606,137
YT,VID,CU,TR,BR,,,,,,,,,,,,,,,39738,24,688.94,15,12,15,,,,,,,35230,80
YT,VID,CU,UNI,BR,99,0,3.04,1,1,1,,,,,,,27,8,123,0,3.43,8,8,8,,,,,,,37,25
YT,VID,HS,UG,BR,,,,,,,,,,,,,,,119304,179,2032.63,85,72,83,,,,,,,104825,235
YT,VID,HS,UNI,BR,179,0,3.45,3,2,3,,,,,,,45,19,237,0,4.81,6,6,6,,,,,,,93,55
YT,VID,WA,UNI,BR,7,0,0.11,1,1,1,,,,,,,3,3,23,0,0.8,7,7,7,,,,,,,13,13
YT,VID,ALL,UNI,BR,292552,125,9106,44,43,44,,,,,,,70803,17543,,,,,,,,,,,,,,
DBM,DISP,TL,UG,BR,7660012,3699,,910,786,861,,,,,,,,,,,,,,,,,,,,,,
DBM,DISP,ALL,UNI,BR,9001255,1804,,4435,3617,4119,,,,,,,,,,,,,,,,,,,,,,
DBM,VID,ALL,UNI,BR,1561401,2104,,1255,1132,1246,,,,,,,,,,,,,,,,,,,,,,
FB,DISP,TL,UG,IG,,,,3389,3121,3336,,,,,,,,,,,,,,,,,,,,,,
FB,DISP,WA,DC,IG,,,,4784,4344,4667,,,,,,,,,,,,,,,,,,,,,,
FB,DISP,ALL,IC,IG,,,,477,421,460,,,,,,,,,,,,,,,,,,,,,,
FB,DISP,CU,GR,IG,,,,10031,8951,9593,,,,,,,,,,,,,,,,,,,,,,
FB,DISP,CU,TR,IG,,,,2664,2455,2602,,,,,,,,,,,,,,,,,,,,,,
FB,DISP,HS,UG,IG,,,,16587,15021,16125,,,,,,,,,,,,,,,,,,,,,,
LI,DISP,WA,DC,IG,,,,186,68,101,,,,,,,,,,,,,,,,,,,,,,
FB,DISP,CU,TR,BR,186919,500,1150.94,,,,,,,,,,,,,,,,,,,,,,,,,
FB,DISP,HS,UG,AG,497319,2575,3904.08,,,,,,,,,,,,,,,,,,,,,,,,,
FB,DISP,HS,UG,BR,601593,1961,5040.8,,,,,,,,,,,,,,,,,,,,,,,,,
FB,DISP,TL,UG,AG,28448,338,325.17,,,,,,,,,,,,,,,,,,,,,,,,,
FB,DISP,TL,UG,BR,358608,1063,2999.66,,,,,,,,,,,,,,,,,,,,,,,,,
FB,DISP,WA,DC,AG,79832,241,204.12,,,,,,,,,,,,,,,,,,,,,,,,,
FB,DISP,WA,DC,BR,415199,467,1504.69,,,,,,,,,,,,,,,,,,,,,,,,,
FB,DISP,WA,GR,AG,78592,107,167.72,,,,,,,,,,,,,,,,,,,,,,,,,
FB,DISP,WA,GR,BR,180179,160,567.71,,,,,,,,,,,,,,,,,,,,,,,,,
FB,DISP,WA,IC,AG,42277,78,59.88,,,,,,,,,,,,,,,,,,,,,,,,,
FB,DISP,WA,IC,BR,54723,29,145.94,,,,,,,,,,,,,,,,,,,,,,,,,
IG,DISP,CU,TR,BR,260617,245,1349.06,,,,,,,,,,,,,,,,,,,,,,,,,
IG,DISP,HS,UG,AG,1494053,8134,4510.76,,,,,,,,,,,,,,,,,,,,,,,,,
IG,DISP,TL,UG,AG,1096258,5120,1674.76,,,,,,,,,,,,,,,,,,,,,,,,,
IG,DISP,WA,DC,AG,992860,6377,1819.8,,,,,,,,,,,,,,,,,,,,,,,,,
IG,DISP,WA,DC,BR,92041,66,521.4,,,,,,,,,,,,,,,,,,,,,,,,,
IG,DISP,WA,GR,AG,1282876,4902,2364.51,,,,,,,,,,,,,,,,,,,,,,,,,
IG,DISP,WA,GR,BR,33400,27,191.2,,,,,,,,,,,,,,,,,,,,,,,,,
IG,DISP,WA,IC,AG,103458,643,140.12,,,,,,,,,,,,,,,,,,,,,,,,,
IG,DISP,WA,IC,BR,12765,7,54.06,,,,,,,,,,,,,,,,,,,,,,,,,
